date,close,volume,vix,rsi_14,beta,correlation_sp_vix
2023-11-24,4559.33984375,1639500000,12.460000038146973,71.55181891273199,1.0,-0.7519942114147412
2023-11-27,4550.43017578125,3403990000,12.6899995803833,69.71252719574126,1.0,-0.8000069888942997
2023-11-28,4554.89013671875,3586240000,12.6899995803833,70.12649854440757,1.0,-0.7973578875258434
2023-11-29,4550.580078125,4418760000,12.979999542236328,69.14295858644248,1.0,-0.8041171337287658
2023-11-30,4567.7998046875,5399300000,12.920000076293945,70.8990410803615,1.0,-0.7801152918368954
2023-12-01,4594.6298828125,4397120000,12.630000114440918,73.43573892426734,1.0,-0.7874442735424915
2023-12-04,4569.77978515625,4369910000,13.079999923706055,67.56150046940935,1.0,-0.8029315713292375
2023-12-05,4567.18017578125,3909950000,12.850000381469727,66.95809138165578,1.0,-0.8435420886683554
2023-12-06,4549.33984375,4245680000,12.970000267028809,62.812037306071474,1.0,-0.8493817198049911
2023-12-07,4585.58984375,3818880000,13.0600004196167,67.24954389081113,1.0,-0.800373664160994
2023-12-08,4604.3701171875,3707010000,12.350000381469727,69.2938263808159,1.0,-0.7894146383964631
2023-12-11,4622.43994140625,3823210000,12.630000114440918,71.1592069727768,1.0,-0.7616079057020929
2023-12-12,4643.7001953125,3808380000,12.069999694824219,73.22051624036234,1.0,-0.7412895142814456
2023-12-13,4707.08984375,5063650000,12.1899995803833,78.21909424142757,1.0,-0.6910310794628205
2023-12-14,4719.5498046875,6314040000,12.479999542236328,79.04698643588232,1.0,-0.6703206610754286
2023-12-15,4719.18994140625,8218980000,12.279999732971191,78.95364476442087,1.0,-0.6024421803587804
2023-12-18,4740.56005859375,4060340000,12.5600004196167,80.43140492474274,1.0,-0.5618111333007858
2023-12-19,4768.3701171875,4026970000,12.529999732971191,82.18449737932455,1.0,-0.5570995184003467
2023-12-20,4698.35009765625,4201320000,13.670000076293945,66.12250311017094,1.0,-0.6656095383341811
2023-12-21,4746.75,3431180000,13.649999618530273,70.42517896656207,1.0,-0.6604079459094847
2023-12-22,4754.6298828125,3046770000,13.029999732971191,71.06941423921333,1.0,-0.5980937834757352
2023-12-26,4774.75,2513910000,12.989999771118164,72.70438747936339,1.0,-0.5313808064266295
2023-12-27,4781.580078125,2748450000,12.430000305175781,73.25690360838382,1.0,-0.5002749948686345
2023-12-28,4783.35009765625,2698860000,12.470000267028809,73.40713280726679,1.0,-0.4660086562197256
